,fname,dialogue
7130,train_7130,"#Person1#: 도와드릴까요?
#Person2#: 치마를 사고 싶어요.
#Person1#: 어떤 스타일을 선호하시나요?
#Person2#: 가장자리에 꽃이 있는 것을 좋아해요.
#Person1#: 이건 어떠세요?
#Person2#: 너무 짧아 보여요.
#Person1#: 이건 어떠세요?
#Person2#: 이쁘네요. 얼마인가요?
#Person1#: 70위안입니다.
#Person2#: 더 싼 건 없나요?
#Person1#: 이건 50위안이에요.
#Person2#: 아까 보여주신 걸로 하겠어요. 이건 더 싸지만 그것보다는 좋아 보여요.
#Person1#: 그렇군요.
#Person2#: 여기 돈이에요.
#Person1#: 감사합니다. 다른 것도 필요하신가요?
#Person2#: 아니요, 감사합니다."
7131,train_7131,"#Person1#: 안녕하세요, 하오 씨. 당신이 우리 회사의 직원으로 뽑히지 않았음을 알려드리려고 전화했습니다. 죄송합니다.
#Person2#: 조금 충격을 받긴 했지만, 저는 이 상황을 잘 이겨낼 수 있을 것 같습니다. 면접에서 제가 해야 할 만큼 잘하지 못했거든요.
#Person1#: 그럴 수도 있습니다. 하지만 한 번 실패했다고 영원히 포기해서는 안됩니다.
#Person2#: 알겠습니다, 감사합니다. 다른 기회가 있다면 다시 해보겠습니다."
7133,train_7133,"#Person1#: 제가 사진을 보여줄 테니까 여기 앉아서 커피를 주문해요.
#Person2#: 좋은 생각이에요. 하지만 저는 차를 좋아해요.
#Person1#: 이 사람이 제 룸메이트인 테드예요. 우리는 기숙사에서 살고요.
#Person2#: 이게 당신의 방인가요? 책이 정말 많네요. 어떻게 이렇게 잘 정리했나요?
#Person1#: 테드가 해준 거예요. 그는 깔끔한 사람이거든요.
#Person2#: 기숙사 생활이 좋아요?
#Person1#: 네. 테드는 정말 좋은 사람이에요. 가끔 제 책이나 옷을 흩뜨려놓으면 그가 화를 내요. 가끔 그가 라디오를 너무 크게 틀어서 시끄럽게 하면 제가 화를 내고요. 그래도 대체적으로 우리는 잘 지내요.
#Person2#: 이 사진은 어디서 찍은 건가요?
#Person1#: 그건 우리가 방학 때 해변에 갔을 때 찍은 사진이에요~
#Person2#: 정말 멋져 보이네요. 이 귀여운 강아지는요.
#Person1#: 그건 제 개 앨런이에요. 지금은 부모님과 함께 있어요."
7134,train_7134,"#Person1#: 안녕하세요. 갈. 시골에서의 휴가는 즐거웠나요?
#Person2#: 네. 정말 즐거웠어요. 그리고 몇몇 친구들도 함께 갔어요.
#Person1#: 어디에서 묵었나요? 호텔에서요?
#Person2#: 아니요. 우리는 스노우던 근처 산에서 캠핑했어요. 모든 식사를 불 위에서 요리했어요.
#Person1#: 들리기 좋네요. 날씨는 어땠나요?
#Person2#: 거의 매일 해가 떴고, 비는 전혀 오지 않았어요.
#Person1#: 그곳 사람들은 어땠나요?
#Person2#: 네, 친절했어요. 몇몇 농부들을 만나서 그들의 집에서 차를 마셨어요."
7139,train_7139,"#Person1#: 벽에 붙어 있는 공지를 보고 필요한 물건이 있나 확인하러 왔어요. 
#Person2#: 천천히 둘러보세요. 팔 게 많아요. 
#Person1#: 책상은 얼마인가요? 
#Person2#: $7입니다. 
#Person1#: 이 마당에서 할인 판매하는 물건들은 정말 저렴하네요. 저 책상 살게요."
7140,train_7140,"#Person1#: 미크, 요즘 나노미터에 대한 이야기가 많이 나오는데, 도대체 그게 뭐야? 
#Person2#: 나노미터는 길이 척도야. 이건 미터의 10억분의 1로, 개별 원자의 크기의 대략 10배 정도야. 
#Person1#: 흠... 정확한 크기를 파악하기가 어렵네. 
#Person2#: 이렇게 비교해 보면 어떨까. 10 나노미터는 사람 머리카락 지름보다 1000배 작아. 1인치에는 400마일에 인치만큼 많은 나노미터가 있고.
#Person1#: 이해했어. 고마워."
7143,train_7143,"#Person1#: 좋아요, 테일러 씨. 시작해봅시다. 먼저, 마지막 직장에 대해 말씀해주시겠어요?
#Person2#: 네. 저는 5년 동안 하이테크 컴퓨터에서 일했습니다.
#Person1#: 좋아요, 하이테크. 웹사이트 제작 기술은 어떤가요? 아, 우리는 회사 웹사이트를 만들고 관리할 사람을 찾고 있어요.
#Person2#: 음, 어...웹사이트, 웹사이트. 음...그 책을 읽은 적이 없는 것 같아요.
#Person1#: 네? 그럼 플래시 제작 경험은 어떤가요?
#Person2#: 글쎄요. 컴퓨터가 가끔 플래시를 터뜨리곤 하는 것 같아요.
#Person1#: 좋아요, 테일러 씨. 필요한 정보는 다 얻은 것 같습니다.
#Person2#: 아, 그리고 저는 컴퓨터 게임을 정말 좋아해요. 매일 했어요.
#Person1#: 그렇군요, 그래요. 감사합니다, 테일러 씨. 연락드리겠습니다."
7145,train_7145,"#Person1#: 오늘 밤에 파티를 할 예정이에요. 정말 좋네요. 그러면 어떤 음료를 준비해야 할까요?
#Person2#: 맥주가 당신의 최애라는 건 알고 있지만, 모두가 그걸 좋아하진 않을 거예요. 탄산음료는 어떨까요?
#Person1#: 좋아요, 하지만 탄산음료를 너무 많이 준비할 필요는 없을 것 같아요. 오렌지 주스 한 병이 있으니까, 콜라 두 병만 더 있으면 충분할 거예요. 준비해야 할 다른 것이 있을까요?
#Person2#: 음, 잠깐 생각해볼게요. 와인을 좀 준비하는 게 좋을 것 같아요.
#Person1#: 꼭 그래야 한다면, 찬성이에요. 하지만 알다시피, 저는 와인을 마시는 데에는 별로 관심이 없어요."
7149,train_7149,"#Person1#: 이 배터리가 세일 중이라니 좋네요.
#Person2#: 죄송합니다. 이 배터리는 세일 중이 아니에요.
#Person1#: 하지만 광고에 그렇게 나와있었어요.
#Person2#: 죄송해요. 광고를 다시 보시면, 다른 브랜드가 세일 중임을 아실 수 있을 거에요.
#Person1#: 아, 그렇군요. 광고를 잘못 읽었나 봐요.
#Person2#: 네, 많은 분들이 그렇게 착각하곤 하세요.
#Person1#: 그럴 수밖에 없죠. 광고가 헷갈리니까요.
#Person2#: 맞아요. 많은 광고들이 그렇죠.
#Person1#: 어쨌든, 여기까지 왔으니.
#Person2#: 잠시만요, 세일 중인 배터리를 드릴게요."
7150,train_7150,"#Person1#: 왕씨, 상하이에서의 이틀간의 일정을 계획해두었습니다. 만약 맞지 않는다면 일부 바꾸실 수 있습니다.
#Person2#: 좋습니다. 일정을 읽어주세요.
#Person1#: 금요일 오전에는 상하이 연구소의 소장인 왕씨께서 호텔에 방문하실 예정입니다. 오후에는 컴퓨터 회사의 부사장인 양씨와 몇 가지 문제에 대해 논의하실 예정입니다.
#Person2#: 아주 좋네요.
#Person1#: 토요일에는 호텔을 떠나 관광을 하실 예정입니다. 루씨가 안내인이 될 것입니다.
#Person2#: 오, 그것은 좋군요."
7153,train_7153,"#Person1#: 실례합니다. 체크아웃 하고 싶어요.
#Person2#: 물론이죠, 선생님. 미니바에서 드신 거 있으신가요?
#Person1#: 아니요.
#Person2#: 알겠습니다, 총 금액은 367달러 65센트입니다. 어떻게 결제하시겠습니까?
#Person1#: 아메리칸 익스프레스로 할게요, 괜찮나요?
#Person2#: 물론이죠, 선생님. 택시가 필요하신가요?
#Person1#: 괜찮습니다. 친구가 데리러 올 예정이에요."
7155,train_7155,"#Person1#: 티켓을 보여주세요. 선호하는 좌석 있으신가요?
#Person2#: 네. 물론 창가 좌석을 원해요, 흡연 구역에서요.
#Person1#: 알겠습니다. 짐을 저울에 올려주세요.
#Person2#: 무게 제한은 얼마인가요?
#Person1#: 20kg입니다. 손님의 짐은 초과하지 않습니다. 여기 탑승권과 짐표가 있습니다. 위성홀로 가셔서 탑승을 기다리세요.
#Person2#: 감사합니다."
7157,train_7157,"#Person1#: 저기 있는 신발 좀 볼 수 있을까요?
#Person2#: 물론이죠. 신발 사이즈는 어떻게 되세요?
#Person1#: 24사이즈에요. 인조인가요, 아님 가죽인가요?
#Person2#: 모두 가죽이에요. 어떠세요?
#Person1#: 편하네요. 이걸로 할게요."
7158,train_7158,"#Person1#: 실례합니다, 다음 보스턴행 버스는 언제 출발하나요?
#Person2#: 8시에 출발합니다.
#Person1#: 알겠습니다. 좌석은 남아있나요?
#Person2#: 잠시만 기다려 주세요. 네. 좌석이 있습니다.
#Person1#: 네. 요금은 얼마인가요?
#Person2#: 38달러입니다.
#Person1#: 알겠습니다. 여기 40달러입니다.
#Person2#: 여기 티켓과 거스름돈입니다.
#Person1#: 감사합니다. 어느 게이트로 가야하나요?
#Person2#: 2번 게이트로 가주세요.
#Person1#: 정말 감사합니다.
#Person2#: 별 말씀을요."
7159,train_7159,"#Person1#: 준비 됐어?
#Person2#: 무슨 준비 말하는거야?
#Person1#: 큰 변화를 위한 준비.
#Person2#: 무슨 말인지 모르겠어.
#Person1#: 전국이 디지털 TV로 전환하고 있어.
#Person2#: 아. 물론 나는 준비됐어.
#Person1#: 변환기 샀어?
#Person2#: 아니, 디지털 TV를 샀기 때문에 변환기는 필요 없어.
#Person1#: 그거 얼마였어?
#Person2#: 13인치 화면에 120달러 정도였어.
#Person1#: 디지털 채널 선택할 수 있어?
#Person2#: 아, 응. 한국어 채널은 6개 있는데 영어는 하나도 없어!"
7161,train_7161,"#Person1#: 컴퓨터에 대해 많이 알고 있나요?
#Person2#: 그다지 많이 알지는 못해요.
#Person1#: 저는 방금 그들에 대한 기사를 읽었어요. 이제 다양한 분야에서 사용될 거라고 하더군요.
#Person2#: 회계 시스템 같은 것을 말하는 건가요?
#Person1#: 맞는데, 그 외에도 다른 분야에서도 사용되고 있어요. 우리가 파리로 가는 비행기 표를 사러 갔던 거 기억나요?
#Person2#: 네?
#Person1#: 그 남자가 우리가 어디로 가고 싶은지 물어보고, 그 정보를 양식에 입력하고 답변을 기다렸었죠. 조금 있다가, 그는 우리에게 두 장의 표를 줬어요.
#Person2#: 그럼 그의 기계는 컴퓨터에 연결되어 있었겠군요.
#Person1#: 맞아요."
7162,train_7162,"#Person1#: 닉! 잘 지내?
#Person2#: 오, 안녕. . .
#Person1#: 이 동네에서 뭐하고 있어? 여기 살아?
#Person2#: 사실, 내 사무실이 바로 이 근처에 있어.
#Person1#: 지난주에 회의에서 만나서 좋았어. 외국 투자에 대한 우리의 대화가 정말 재미있었어.
#Person2#: 응, 응, 정말 흥미로웠어. 근데, 나 좀 바쁜데, 여기 내 명함이야. 꼭 다시 만나서 우리의 대화 이어나가야 해.
#Person1#: 그럼, 내 연락처 아직 가지고 있지?
#Person2#: 이게 좀 부끄러운데, 네 이름이 생각나지 않아. 다시 한번 말해줄래?
#Person1#: 그럼, 내 이름은 아나 페리스야. 걱정하지 마. 나도 자주 그래. 이름을 잘 못 기억해."
7165,train_7165,"#Person1#: 여기 정말 좋네요.
#Person2#: 말 그대로에요. 태양이 빛나고 쾌적한 바람이 불고 있어요. 정말 멋져요.
#Person1#: 여기 날씨가 이상적이라고 들었어요, 일년 대부분이 봄처럼요.
#Person2#: 맞아요. 봄의 사 계절을 가지고 있어요."
7167,train_7167,"#Person1#: 교수님, 제 성적이 걱정되서요. 잠시 시간 있으신가요?
#Person2#: 물론이죠, 어떻게 도와드릴까요?
#Person1#: 제가 잘하고 있는지 알고 싶어요.
#Person2#: 그럼 지금까지의 점수를 한번 확인해보죠. 당신은 잘하고 있다고 생각하나요?
#Person1#: 제가 그다지 잘하고 있지 않을 수도 있다는 걱정이 들어요.
#Person2#: 일부분에서는 잘하고 있지만, 다른 부분에서는 그렇지 않은 것 같네요.
#Person1#: 제 생각엔 제가 필기를 좀 더 잘 하고 좀 더 많이 읽으면 될 것 같아요.
#Person2#: 늘 어떻게 개선할 수 있을지를 성찰하면 성적이 크게 향상될 수 있어요.
#Person1#: 저, 노력하고 있어요!
#Person2#: 최선을 다하면 분명히 발전할 수 있을 거예요."
7168,train_7168,"#Person1#: 제 머리 다 끝났나요?
#Person2#: 거의 다 끝났어요.
#Person1#: 얼마나 더 걸릴까요?
#Person2#: 지금 다 끝났어요. 마음에 드세요?
#Person1#: 정말 맘에 들어요.
#Person2#: 정말로 맘에 드세요?
#Person1#: 네, 정말로요.
#Person2#: 마음에 들어서 기쁘네요.
#Person1#: 얼마를 내야 하나요?
#Person2#: 55달러가 될 거예요.
#Person1#: 여기 있습니다, 전부 감사해요.
#Person2#: 몇 주 있다가 다시 오세요."
7169,train_7169,"#Person1#: 정말 매력적인 블라우스네요, 이 파란 드레스를 입으니 너무 예쁘세요!
#Person2#: 정말요? 감사합니다. 어제 스프링 스트리트에서 샀어요.
#Person1#: 정말 멋져요. 당신의 치마와 잘 어울리네요.
#Person2#: 감사합니다. 그렇게 말씀해주시니 기분이 좋네요.
#Person1#: 아니에요. 이 드레스는 분명히 당신의 좋은 취향을 보여주네요.
#Person2#: 그런 칭찬을 들으니 기분이 좋네요."
7170,train_7170,"#Person1#: 안녕하세요! 미니바를 어떻게 다시 채우나요?
#Person2#: 다 드셨나요, 손님?
#Person1#: 다 먹었습니다.
#Person2#: 미니바 전체를 원하시나요, 아니면 특정 상품만 원하시나요?
#Person1#: 페리에와 짐 빔 각각 세 병씩 보내주세요.
#Person2#: 짐 빔 세 병과 페리에 세 병입니다. 그 외에 더 필요한 것이 있나요, 선생님?
#Person1#: 제 방에 있는 사과가 맛있었습니다. 좀 더 가져다 주세요.
#Person2#: 알겠습니다. 그 외에 필요한 것이 없는지 확인해보시겠어요?
#Person1#: 그럼, 포도 주스도 좋을 것 같아요.
#Person2#: 잠시만 기다려 주세요, 선생님. 곧 누군가가 문 앞에 있을 것입니다."
7172,train_7172,"#Person1#: 안녕하세요, 거기 아파트 관리사무소인가요?
#Person2#: 도와드릴 일이 있나요?
#Person1#: 네, 저는 10호실 세입자에요. 제 주방 싱크대가 또 막힌 것 같고, 욕조도 그래요.
#Person2#: 알겠습니다. 내일 사람을 보내드릴게요.
#Person1#: 음, 가능하다면 오늘 중에 누군가를 보내주셨으면 좋겠어요. 정말 불편해요. 요리도 못하고 샤워도 못하겠어요.
#Person2#: 네, 조금 있다 올라가겠습니다.
#Person1#: 감사합니다, 정말 감사해요."
7173,train_7173,"#Person1#: 저는 메리 켈리입니다. 이름을 여쭤봐도 될까요?
#Person2#: 제 이름은 장 린이입니다. 안녕하세요, 켈리 양?
#Person1#: 만나서 반갑습니다, 장 씨. 앉아주세요.
#Person2#: 감사합니다. 켈리 양.
#Person1#: 당신의 타자 직원으로 자격은 무엇인가요?
#Person2#: 저는 분당 120단어를 타이핑하고, 분당 80단어의 속기를 할 수 있어요.
#Person1#: 타이핑과 속기 테스트를 받아보실 의향이 있나요?
#Person2#: 네, 그렇습니다. ( 테스트 후 )
#Person1#: 당신 타이핑과 속기 실력이 꽤 좋군요. 이 일에 지원하고 싶으신가요?
#Person2#: 네, 도전해보고 싶습니다.
#Person1#: 좋아요. 우리 매니저인 맥브라이드 씨와 인터뷰를 해야 해요. 그의 사무실로 가볼까요."
7178,train_7178,"#Person1#: 문에서 좀 물러나 주세요. 뒤쪽에 많은 좌석이 있습니다.
#Person2#: 요금은 얼마인가요?
#Person1#: 1위안 50센트입니다. 여기 상자에 넣어주세요.
#Person2#: 이게 바로 자주원 공원으로 가는 버스인가요?
#Person1#: 2번 버스를 타세요. 이건 12번 버스입니다.
#Person2#: 그런데 누가 이게 가야 할 버스라고 말했어요. 저는 천안문 광장으로 가고 싶어요.
#Person1#: 그럼 이 버스가 맞습니다. 계속 가세요. 승객들을 막고 있으시네요. 천안문 광장은 끝에서 두 번째 정거장이에요.
#Person2#: 도착하면 알려주시겠어요?"
7179,train_7179,"#Person1#: 과일을 좀 사야 해요.
#Person2#: 여기 있는 과일들은 모두 꽤 신선해요.
#Person1#: 배는 얼마인가요?
#Person2#: 킬로그램당 사 위안이에요.
#Person1#: 그럼 그것 일 킬로 주세요. 신선한 자두도 있나요?
#Person2#: 네, 있어요. 킬로그램당 팔 위안이에요.
#Person1#: 좀 비싼 것 같아요. 옆 가게에서는 육 위안에 파는데요.
#Person2#: 많이 사시면 킬로그램당 육 위안에 드릴게요.
#Person1#: 합리적인 것 같네요. 삼 킬로 사겠어요.
#Person2#: 알겠습니다. 22위안이에요
#Person1#: 여기 있습니다."
7180,train_7180,"#Person1#: 결혼하셨는지 안 하셨는지 여쭤봐도 괜찮을까요?
#Person2#: 솔직히 말하자면, 한 번 결혼했었는데 지금은 싱글입니다.
#Person1#: 이혼하셨다는 말씀이신가요?
#Person2#: 네, 첫 번째 결혼은 실패했어요."
7182,train_7182,"#Person1#: 안녕, 피터. 또 늦었네!
#Person2#: 아, 정말 미안해. 얼마나 미안한지 몰라.
#Person1#: 음, 이번에는 무슨 핑계야?
#Person2#: 알람시계를 끄고 다시 잠에 들었나 봐.
#Person1#: 응, 그리고 지난 주에는 차가 고장났었지.
#Person2#: 응, 알아.
#Person1#: 음...
#Person2#: 정말 미안해. 다시는 이런 일이 없을 거야."
7183,train_7183,"#Person1#: 등이 너무 아파요. 약이 있나요?
#Person2#: 진통제를 드릴 수 있어요. 하지만 병원에 가보는 게 어떨까요?
#Person1#: 알약이 통증을 없애주는지 먼저 보고 싶어요."
7185,train_7185,"#Person1#: 조금 더 일찍 돌아갈 의도를 신호로 알렸다면 이런 일은 일어나지 않았을 텐데요.
#Person2#: 하지만 제가 충분히 시간에 맞춰 신호를 보냈어요! 당신이 내 차를 어떻게 만들었는지만 봐요! 당신은 조심성 없이 운전하고 속도도 제한을 넘었어요! 잘못한 건 당신이에요!"
7186,train_7186,"#Person1#: 리 씨를 보셨나요?
#Person2#: 아니요, 보지 못했어요. 저를 찾고 계신가요?
#Person1#: 네, 그렇습니다. 그분이 당신과 이야기하고 싶어해요.
#Person2#: 저를요? 무슨 일로요?
#Person1#: 영업부서에 자리가 생겼어요. 그분이 그 부분에 대해 당신과 이야기하고 싶어해요.
#Person2#: 오, 좋네요! 그 일은 무슨 일인가요?
#Person1#: 그분이 정확히 말씀하시진 않았어요. 하지만 이것보다 더 좋은 일이 될 거에요.
#Person2#: 도움 주셔서 감사해요.
#Person1#: 아직 감사하지 마세요! 그분이 아직 당신과 이야기하지 않았고, 당신에게 그 일을 맡기로 결정하지 않았으니까요.
#Person2#: 알고 있습니다."
7187,train_7187,"#Person1#: 먼저, 당신의 경험에 대해 조금 말해주실 수 있나요?
#Person2#: 그럼요. 저는 A학점을 학교를 그만뒀어요.
#Person1#: 어떤 과목을 수강했나요?
#Person2#: 프랑스어, 독일어, 그리고 미술이요.
#Person1#: 미술이요?
#Person2#: 네. 저는 정말로 미술을 공부하고 싶었어요. 하지만 아버지의 친구가 저에게 일자리를 주었어요-그는 도시의 회계사에요.
#Person1#: 그렇군요. 지원서에는 이 회계사무소에서 9개월만 일했다고 적혀있네요. 그 이유는 무엇인가요?
#Person2#: 솔직히 말하면, 그 일이 맘에 들지 않아서, 1년 전에 미술대학에 입학했어요.
#Person1#: 아버지께서는 어떻게 생각하셨나요?
#Person2#: 처음에는 꽤 실망하셨어요. 아버지도 회계사이시거든요.
#Person1#: 형제나 자매가 있나요?
#Person2#: 두 명의 동생이 있어요, 둘 다 학교에 다니고 있어요. 한 명은 11살이고, 다른 한 명은 15살이에요.
#Person1#: 알겠습니다. 여가 시간에는 무엇을 하시나요?
#Person2#: 저는 재즈와 포크 음악을 좋아하고, 가끔 극장에 가서 연기도 조금 해요 많이 읽고, 사진 촬영도 조금 해봤어요. 그리고, 유럽 전역을 많이 여행했어요.
#Person1#: 아주 흥미롭군요, 브라운씨. 당신의 경력에 대해서 묻고 싶은 것은 여기까지인 것 같아요."
7188,train_7188,"#Person1#: 수잔, 좀 걱정스러워 보이는데, 무슨 일 있어?
#Person2#: 요즘 몸무게가 좀 찐 것 같아.
#Person1#: 아이고! 그거 꽤 문제네. 조언 좀 해줄까?
#Person2#: 물론이지, 어떻게 해야 할까?
#Person1#: 다이어트를 해보거나, 아니면 적어도 네 엄마가 준비해준 음식을 너무 많이 먹지 않는 것이 좋을 것 같아, 그리고...
#Person2#: 그리고 운동을 해야겠지, 맞지? 많은 사람들이 같은 말을 해줬는데, 아무래도 아침에 일찍 일어나는 게 힘들어.
#Person1#: 그래. 엄마랑 내가 도와줄게. 그런데, 주말 시간표를 정리해서 주말에 피트니스 클럽에 가볼 생각은 해봤니?
#Person2#: 응, 그게 좋은 생각인 것 같아. 정말 고마워."
7190,train_7190,"#Person1#: 날씨가 점점 추워지네요.
#Person2#: 네. 어제 목도리를 샀어요. 정말 좋고 따뜻해요. 한번 봐보세요.
#Person1#: 오, 이건 양모로 만들어진 거군요. 줄무늬 패턴이 마음에 들어요. 
#Person2#: 네, 저는 심플한 패션을 좋아해요. 어때요?
#Person1#: 잘 어울리는데, 함께 입을 뭔가가 필요해요. 그것만으로는 너무 평범해요.
#Person2#: 이 파란색 스웨터는 어떨까요?
#Person1#: 좋은 생각이에요. 언제 사셨어요? 명품인가요?
#Person2#: 네, 그런데 세일할 때 사서 원래 가격의 50% 할인 받았어요. 그럼, 어떻게 생각하세요?
#Person1#: 멋져 보여요. 그런데 한 가지만 더---귀걸이가 필요해요.
#Person2#: 진주 귀걸이 한 쌍이 있어요. 여기 있어요. 
#Person1#: 완벽해요!
#Person2#: 패션 감각이 좋으시네요, 카렌.
#Person1#: 감사합니다. 우리는 우리 자신이 되어야 해요. 패션 피해자들이 너무 많아요.
#Person2#: 네, 하지만 우리의 감각으로는 항상 멋져 보일 거예요."
7193,train_7193,"#Person1#: 저 구름, 곰 같지 않아요?
#Person2#: 아니요, 저는 개 같아요. 저기 있는 건 곰 같아요.
#Person1#: 아니에요, 그건 고양이 같아요.
#Person2#: 해가 지고 있어요. 제 엄마네 저녁 식사에 늦지 않게 가려면 이제 가야 해요.
#Person1#: 알겠어요. 차는 어디에 있나요? 정원 문 앞에요?
#Person2#: 우리는 그 산 반대편에 주차했어요.
#Person1#: 아니요, 제 생각에는 저 언덕 뒤에 주차한 것 같아요.
#Person2#: 아, 보여요. 저기 저 나무 바로 앞에 있네요.
#Person1#: 아, 좋아요. 꽃을 좀 사야 해요. 당신 엄마는 싱그러운 꽃을 좋아하잖아요.
#Person2#: 그래요, 하지만 먼저 주유를 해야 해요."
7197,train_7197,"#Person1#: 안녕하세요, 어떻게 지내세요?
#Person2#: 만나서 반갑습니다. 와주셔서 감사합니다.
#Person1#: 저도 기쁘네요.
#Person2#: 따님에 대해 이야기하려고 만났습니다.
#Person1#: 그녀가 수업에서 문제를 일으키나요?
#Person2#: 전혀 그렇지 않습니다. 그녀는 제 수업에서 기쁨인걸요.
#Person1#: 정말인가요?
#Person2#: 그녀는 정말로 멋저요.
#Person1#: 그녀가 문제를 일으키지 않았나요?
#Person2#: 네. 그녀는 사실 매우 똑똑하고 예의 바른 아이입니다.
#Person1#: 당신이 그녀를 좋아한다는 것을 알게 되니 좋네요.
#Person2#: 그녀에 대해 걱정할 건 전혀 없어요."
7198,train_7198,"#Person1#: 도와드릴까요?
#Person2#: 음, 저는 짐꾼을 찾고 있는데, 어디에서 찾을 수 있는지 아시나요?
#Person1#: 여기에 많이 있습니다. 빨간 모자를 쓴 사람들이 짐꾼입니다.
#Person2#: 요금은 얼마인가요?
#Person1#: 글쎄요, 짐의 개수에 따라 다릅니다.
#Person2#: 감사합니다."
7200,train_7200,"#Person1#: 이봐, 대마초 좀 사볼래?
#Person2#: 뭐라고?
#Person1#: 마리화나! 알지? 팟, 간자, 메리 제인, 만성적이라고 하지!
#Person2#: 아, 음, 아니 괜찮아.
#Person1#: 코카인도 있어. 선호하면 몇 줄 해봐.
#Person2#: 아니, 정말 괜찮아.
#Person1#: 와, 진짜야! 헤로인이랑 LSD도 있어! 한번 해봐!
#Person2#: 정말로 이런 약들을 다 가지고 있어? 어디서 구하는거야?
#Person1#: 내 연결고리가 있지! 뭐가 필요한지만 말해. 1 온스는 공짜로 줄게.
#Person2#: 좋아 보이네! 그럼, 내가 원하는 건.
#Person1#: 응?
#Person2#: 머리 뒤로 손 갖다 대! 체포당했어!"
7207,train_7207,"#Person1#: 안녕, 미셸. 복사기 써야 해?
#Person2#: 오, 안녕 제레미. 아니, 너 먼저 해. 그런데 너 어때, 제레미? 지난 주에 린다랑 너에 대해 이야기했었어.
#Person1#: 오, 나 괜찮아, 고마워. 사실 일 때문에 정말 바빠. 로손 계약에 대해 들었어?
#Person2#: 아니, 더 자세히 말해봐.
#Person1#: 음, 나는 빌과 계약에 대해 이야기하는 중에, 그가 지난 주에 로손의 대표를 만났다고 하더라고.
#Person2#: 그래서?
#Person1#: 그래서 그들이 수요일에 거래를 확정할 것이라고 기대하고 있어, 행운을 빌어줘.
#Person2#: 그거 좋은 소식이네, 제레미. 축하해! 어쨌든, 나 돌아가야 해, 그나저나 네 아내 모니카에게 인사 전해줘.
#Person1#: 그럴게, 미셸. 곧 연락할게."
7208,train_7208,"#Person1#: 한국은 어떻게 생각하세요?
#Person2#: 좋아요. 아름다운 나라에요.
#Person1#: 방문 중에 어떤 부분이 가장 좋았나요?
#Person2#: 한국 최고의 섬-지주도요.
#Person1#: 왜요?
#Person2#: 매력적인 풍경, 온화한 날씨, 이것들이 매력을 더하더라고요.
#Person1#: 네, 저도 그렇게 생각해요. 하지만 끔찍한 것도 있어요.
#Person2#: 무슨 말인가요?
#Person1#: 가끔 교통이 너무 혼잡해요.
#Person2#: 네, 맞아요."
7211,train_7211,"#Person1#: 피자 고마워. 정말 맛있었어.
#Person2#: 괜찮아.
#Person1#: 다음 번엔 내가 살게.
#Person2#: 바보처럼 굴지마.
#Person1#: 진심이야.
#Person2#: 알았어. 다음 번에는 다른 맛 시도해 보자.
#Person1#: 그럼. 채식 피자가 꽤 좋아 보여. 아마 맛있을 거야.
#Person2#: 물론. 난 이탈리아 음식을 정말 좋아해."
7212,train_7212,"#Person1#: 음... 이 매표기 어떻게 써야 하나요?
#Person2#: 먼저 돈을 넣으세요.
#Person1#: 알겠습니다, 그렇게 했어요.
#Person2#: 그런 다음 이 버튼을 누르세요.
#Person1#: 아, 티켓이 이미 출력되었네요. 정말 감사합니다.
#Person2#: 천만에요."
7214,train_7214,"#Person1#: 무슨 일 있어, 자기야?
#Person2#: 정말 끔찍한 일이 일어났어. 포르토벨로 로드에 갔는데 누군가 내 핸드백을 훔쳐갔어.
#Person1#: 세상에. 돈 많이 잃은거야?
#Person2#: 아니. 몇 파운드밖에 없긴 했어. 그래도 내 여권이 그 가방 안에 있었거든. 그게 내가 정말 걱정하는 부분이야.
#Person1#: 그건 대사관에 말 해야 해. 그러면 새로 발급해줄 것 같아.
#Person2#: 내일 가야겠어.
#Person1#: 아니야. 그래도 너무 늦게 처리하면 안돼. 경찰에 신고했니?
#Person2#: 아니. 경찰을 찾을 수 없었어.
#Person1#: 음. 도난당했다는 신고를 꼭 해야 해. 그리고 경찰한테 네 가방에 대한 설명을 해야 하고. 내일 아침에 현지 경찰서에 가는 게 좋을 것 같아.
#Person2#: 응, 내일 할게.
#Person1#: 그리고 리사.
#Person2#: 응?
#Person1#: 너무 화를 내지는 마. 세상이 끝난 것은 아니니까."
7215,train_7215,"#Person1#: 안녕하세요. 무엇을 도와드릴까요?
#Person2#: 안녕하세요. 제 급여를 받으러 왔습니다.
#Person1#: 알겠습니다. 현재 통합 통장을 가지고 계신가요? 이 거래를 위해선 비밀번호가 필요해요.
#Person2#: 문제 없습니다.
#Person1#: 그리고 급여는 얼마나 원하시나요?
#Person2#: 3,000 위안만 있으면 충분할 것 같습니다."
7217,train_7217,"#Person1#: 실례합니다, 당신이 사라 윌슨이신가요?
#Person2#: 네, 맞아요. 당신이 톰이시군요. 만나서 반갑습니다.
#Person1#: 저도 만나서 반갑습니다. 짐 좀 도와드릴게요.
#Person2#: 조심하세요, 톰. 그거 꽤 무거워요.
#Person1#: 와, 정말 무겁네요. 잠시만요. 저기요, 우리 좀 도와주실 수 있나요?"
